genome_id,parent_id,generation,campaign_id,customer_id,num_transactions,gain,risk_score,detected,reason_codes,fitness,gain_score,evasion_score,novelty_score,active_dimensions,genome_vector,attack_family,detection_probability,attack_success,parent_campaign_id,mutation_summary
gen_347aa577b3,gen_311731f1a0,1,camp_3d123e5595,cust_d19b94d888,1,932.51,0.916,True,"[""off_hours""]",0.0864,0.121,0.084,0.047,[],"[0.5171815516032185, 0.4805378824091553, 0.395757368872072, 0.13078096193971112, 0.49085713587721047, 0.23544699374851974, 0.23567832921908183]",legitimate,0.916,0.08399999999999996,camp_f8aa765a83,"temporal -0.12, amount +0.06"
gen_0c320a9bf7,,0,camp_29c82282de,cust_44231f2bfe,2,4820.37,0.808,True,"[""amount_deviation"", ""off_hours""]",0.1509,0.116,0.192,0.056,"[""geographic"", ""merchant"", ""coordination""]","[0.19446895049174417, 0.366439909719686, 0.07327577792391804, 0.6512317704341258, 0.9536660422656937, 0.38968876005844033, 0.7188819901966701]",emergent_coordination_geographic_merchant,0.808,0.19199999999999995,,
gen_5cf8af1cf0,gen_b7cb2e0558,1,camp_2ca0bf8e54,cust_e86a4f2cd6,1,2938.49,0.756,True,"[""off_hours"", ""unusual_location""]",0.1723,0.129,0.244,0.108,"[""temporal""]","[0.48678549303293817, 0.7550038512774011, 0.5641385986016807, 0.4295776461864138, 0.06026487443433998, 0.4298222708601105, 0.31376136582532577]",emergent_temporal,0.756,0.244,camp_514cf0b19e,merchant -0.30
gen_7cbee8abc3,gen_5cf8af1cf0,2,camp_329eb09519,cust_5f07b7e205,1,283.54,0.76,True,"[""off_hours"", ""unusual_location""]",0.1646,0.106,0.24,0.102,"[""temporal""]","[0.3948530926364084, 0.7550038512774011, 0.5641385986016807, 0.4295776461864138, 0.06026487443433998, 0.3098964313831474, 0.31376136582532577]",emergent_temporal,0.76,0.24,camp_2ca0bf8e54,"amount -0.09, velocity -0.12"
gen_047b5766c2,gen_347aa577b3,2,camp_19300deb7b,cust_a8d14b4300,1,2449.31,0.819,True,"[""off_hours""]",0.1267,0.116,0.181,0.035,[],"[0.5171815516032185, 0.4805378824091553, 0.395757368872072, 0.13078096193971112, 0.49085713587721047, 0.2147007790178807, 0.23567832921908183]",legitimate,0.819,0.18100000000000005,camp_3d123e5595,no significant change
gen_a638e40550,gen_347aa577b3,2,camp_52a43069f5,cust_6a6d30f4dd,1,1473.43,0.819,True,"[""off_hours""]",0.137,0.17,0.181,0.032,[],"[0.5171815516032185, 0.4654335873640689, 0.395757368872072, 0.13078096193971112, 0.49085713587721047, 0.23544699374851974, 0.2668006831077911]",legitimate,0.819,0.18100000000000005,camp_3d123e5595,coordination +0.03
gen_fc12e8f86e,gen_0c320a9bf7,2,camp_d07bfec2f5,cust_cd5483200e,2,4646.14,0.886,True,"[""amount_deviation"", ""off_hours""]",0.1189,0.133,0.114,0.055,"[""geographic"", ""merchant"", ""coordination""]","[0.19446895049174417, 0.366439909719686, 0.07327577792391804, 0.7568743621268846, 0.9536660422656937, 0.43224004580162, 0.7188819901966701]",emergent_coordination_geographic_merchant,0.886,0.11399999999999999,camp_29c82282de,"geographic +0.11, velocity +0.04"
gen_a9e44fce3e,gen_5cf8af1cf0+gen_0c320a9bf7,2,camp_82fa96dede,cust_ae8eb6f716,1,3045.19,0.888,True,"[""amount_deviation"", ""off_hours""]",0.1193,0.114,0.112,0.156,[],"[0.34062722176234117, 0.5607218804985435, 0.31870718826279937, 0.5404047083102699, 0.5069654583500168, 0.4097555154592754, 0.5163216780109979]",legitimate,0.888,0.11199999999999999,camp_2ca0bf8e54,crossover: gen_5cf8af1cf0 + gen_0c320a9bf7
gen_a0470fb68a,gen_5cf8af1cf0,2,camp_f84281d956,cust_1e2f00cb8a,1,893.47,0.888,True,"[""amount_deviation"", ""off_hours""]",0.0928,0.075,0.112,0.062,"[""temporal""]","[0.48678549303293817, 0.7550038512774011, 0.5432067409873944, 0.4295776461864138, 0.06026487443433998, 0.4298222708601105, 0.31376136582532577]",emergent_temporal,0.888,0.11199999999999999,camp_2ca0bf8e54,no significant change
gen_42502fafc9,gen_347aa577b3,2,camp_3146b32fcc,cust_34aaa24724,1,3510.63,0.132,False,[],0.4337,0.124,0.868,0.016,[],"[0.5086614430716385, 0.4805378824091553, 0.395757368872072, 0.13078096193971112, 0.49085713587721047, 0.23544699374851974, 0.23567832921908183]",legitimate,0.132,0.868,camp_3d123e5595,no significant change
gen_95cd689e71,gen_347aa577b3,2,camp_e92a8c9b70,cust_dd270b0046,1,3947.85,0.946,True,"[""amount_deviation"", ""off_hours""]",0.0692,0.142,0.054,0.008,[],"[0.5019421175976154, 0.4805378824091553, 0.395757368872072, 0.13078096193971112, 0.49085713587721047, 0.23544699374851974, 0.23567832921908183]",legitimate,0.946,0.05400000000000005,camp_3d123e5595,no significant change
